cycle,k,stamp,wall,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,t_classify_s
0,0,875.030000,0.027995,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.059815
0,1,875.096000,0.163920,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.058757
0,2,875.162000,0.296233,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.058338
0,3,875.228000,0.425907,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.064987
0,4,875.294000,0.601128,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.061661
0,5,875.426000,0.734957,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.063549
0,6,875.558000,0.877389,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.076161
0,7,875.690000,1.034465,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.064961
0,8,875.888000,1.195267,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.067982
0,9,876.020000,1.339621,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.060629
0,10,876.152000,1.470791,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.056381
0,11,876.284000,1.599923,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.059767
0,12,876.416000,1.729302,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.058187
0,13,876.548000,1.857102,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.058173
0,14,876.680000,1.983143,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.061506
0,15,876.812000,2.117419,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.063901
0,16,876.944000,2.252703,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.058034
0,17,877.076000,2.380965,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.058776
0,18,877.208000,2.512972,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.060402
0,19,877.340000,2.642878,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.058941
0,20,877.472000,2.774291,none,0,7.000000,6.575000,1.570796,2.245000,0.775436,0.059099
0,21,877.604000,2.903756,none,0,7.000000,6.575000,1.570796,2.245000,0.775492,0.061618
0,22,877.736000,3.037230,none,0,7.000000,6.575000,1.570796,2.245000,0.775592,0.059462
0,23,877.868000,3.166335,none,0,7.000000,6.575000,1.570796,2.245000,0.775892,0.061742
0,24,878.000000,3.302288,none,0,7.000000,6.575000,1.570796,2.245000,0.775931,0.057725
0,25,878.132000,3.436273,none,0,7.000000,6.575000,1.570796,2.245000,0.776263,0.062454
0,26,878.264000,3.568136,none,0,7.000124,6.574447,1.570447,2.244447,0.776797,0.059458
0,27,878.396000,3.698232,none,0,7.000727,6.569213,1.569202,2.239213,0.777002,0.063200
0,28,878.528000,3.832627,none,0,7.001372,6.562966,1.567940,2.232966,0.777191,0.059085
0,29,878.660000,3.963485,none,0,7.002796,6.549610,1.565132,2.219610,0.777035,0.063918
0,30,878.792000,4.102654,none,0,7.004682,6.531498,1.561367,2.201498,0.776517,0.064264
0,31,878.924000,4.243823,none,0,7.005940,6.516758,1.558727,2.186758,0.775648,0.062085
0,32,879.056000,4.377548,none,0,7.007532,6.491054,1.554998,2.161054,0.774372,0.060207
0,33,879.188000,4.512545,none,0,7.008719,6.462081,1.551765,2.132081,0.773154,0.061950
0,34,879.320000,4.648456,none,0,7.009214,6.430744,1.549509,2.100744,0.772480,0.059398
0,35,879.452000,4.783418,none,0,7.009120,6.408879,1.548712,2.078879,0.771908,0.061722
0,36,879.584000,4.917052,none,0,7.008082,6.375016,1.548959,2.045016,0.771149,0.063448
0,37,879.716000,5.052784,none,0,7.006518,6.340191,1.550198,2.010191,0.770156,0.062328
0,38,879.848000,5.187550,none,0,7.005693,6.316562,1.550616,1.986562,0.768975,0.069837
0,39,879.980000,5.331973,none,0,7.005835,6.280686,1.549184,1.950686,0.767874,0.061750
0,40,880.112000,5.473727,none,0,7.006211,6.244406,1.547257,1.914406,0.766865,0.063035
0,41,880.310000,5.608700,none,0,7.005881,6.207827,1.546302,1.877827,0.765501,0.056330
0,42,880.376000,5.728621,none,0,7.005449,6.183313,1.545862,1.853313,0.764896,0.052900
0,43,880.508000,5.849224,none,0,7.004924,6.146395,1.545128,1.816395,0.763307,0.055972
0,44,880.640000,5.969261,none,0,7.004371,6.121711,1.544931,1.791711,0.761354,0.062603
0,45,880.772000,6.098961,none,0,7.003860,6.084596,1.544022,1.754596,0.759554,0.058362
0,46,880.904000,6.222332,none,0,7.003778,6.059812,1.543036,1.729812,0.758418,0.058890
0,47,881.036000,6.347483,none,0,7.003152,6.022600,1.542363,1.692600,0.757627,0.058350
0,48,881.168000,6.470828,none,0,7.002062,5.997799,1.542977,1.667799,0.757712,0.054000
0,49,881.234000,6.587324,none,0,7.000600,5.973009,1.544242,1.643009,0.758086,0.056180
0,50,881.366000,6.710299,none,0,6.998399,5.935810,1.546181,1.605810,0.759215,0.057410
0,51,881.498000,6.839889,none,0,6.997787,5.910983,1.546183,1.580983,0.760680,0.058779
0,52,881.630000,6.967060,none,0,6.998131,5.873747,1.544088,1.543747,0.761934,0.054652
0,53,881.762000,7.089047,none,0,6.998997,5.848948,1.541447,1.518948,0.762637,0.063786
0,54,881.894000,7.219540,none,0,7.001665,5.812329,1.534778,1.482329,0.762471,0.059489
0,55,882.026000,7.346880,none,0,7.005555,5.777642,1.525608,1.447642,0.761706,0.062936
0,56,882.158000,7.475915,none,0,7.008271,5.754663,1.518930,1.424663,0.760664,0.058067
0,57,882.290000,7.602154,none,0,7.011364,5.719670,1.509845,1.389670,0.759284,0.061659
0,58,882.422000,7.729452,none,0,7.012514,5.696016,1.504959,1.366016,0.757578,0.057193
0,59,882.554000,7.852261,none,0,7.012514,5.660151,1.500109,1.330151,0.755781,0.062602
0,60,882.686000,7.985146,none,0,7.011726,5.636032,1.498100,1.306032,0.754072,0.061620
0,61,882.818000,8.116028,none,0,7.009535,5.599637,1.496777,1.269637,0.752617,0.057720
0,62,882.884000,8.239669,none,0,7.007551,5.575266,1.496871,1.245266,0.752155,0.061753
0,63,883.016000,8.372348,stringer_in_path,1,7.003536,5.538674,1.498930,1.208674,0.751784,0.056668
0,64,883.148000,8.497504,pallet_absent,1,6.998369,5.502137,1.503234,1.172137,0.752028,0.069043
0,65,883.346000,8.650830,pallet_absent,1,6.992577,5.465654,1.509113,1.135654,0.752415,0.065867
0,66,883.478000,8.796411,pallet_absent,1,6.986154,5.429301,1.516647,1.099301,0.752282,0.071598
0,67,883.610000,8.967475,pallet_absent,1,6.979243,5.393119,1.525641,1.063119,0.752389,0.074211
0,68,883.808000,9.126842,pallet_absent,1,6.972139,5.357457,1.535795,1.027457,0.752520,0.068108
0,69,883.940000,9.280601,pallet_absent,1,6.965030,5.322898,1.546773,0.992898,0.752555,0.074371
0,70,884.072000,9.435348,pallet_absent,1,6.958144,5.291479,1.558903,0.961479,0.752653,0.073745
0,71,884.270000,9.594808,pallet_absent,1,6.951575,5.266998,1.572559,0.936998,0.752796,0.079487
0,72,884.402000,9.759247,pallet_absent,1,6.945641,5.248084,1.583206,0.918084,0.752956,0.074405
0,73,884.600000,9.925278,pallet_absent,1,6.938511,5.227808,1.595516,0.897808,0.753066,0.082223
0,74,884.732000,10.094468,pallet_absent,1,6.933250,5.212008,1.606191,0.882008,0.753073,0.076197
0,75,884.930000,10.259318,pallet_absent,1,6.927962,5.195508,1.617788,0.865508,0.753288,0.079026
0,76,885.062000,10.429717,pallet_absent,1,6.920583,5.173832,1.626322,0.843832,0.753424,0.073262
0,77,885.260000,10.595291,pallet_absent,1,6.915318,5.157992,1.629046,0.827992,0.753643,0.081844
0,78,885.458000,10.773216,pallet_absent,1,6.908418,5.138109,1.632639,0.808109,0.753835,0.076569
0,79,885.590000,10.946212,pallet_absent,1,6.903315,5.124326,1.635306,0.794326,0.753945,0.080458
0,80,885.788000,11.133746,pallet_absent,1,6.896612,5.107291,1.638814,0.777291,0.754098,0.095031
0,81,885.986000,11.328063,pallet_absent,1,6.890005,5.092164,1.642278,0.762164,0.754225,0.077301
0,82,886.118000,11.499027,pallet_absent,1,6.885190,5.082164,1.644806,0.752164,0.754245,0.080083
0,83,886.316000,11.667469,pallet_absent,1,6.879039,5.070254,1.648038,0.740254,0.754274,0.087864
0,84,886.514000,11.844952,pallet_absent,1,6.874600,5.062100,1.650373,0.732100,0.754300,0.076625
0,85,886.646000,12.012199,pallet_absent,1,6.870288,5.054528,1.652646,0.724528,0.754342,0.082578
0,86,886.844000,12.185699,pallet_absent,1,6.864766,5.045357,1.655557,0.715357,0.754362,0.083208
0,87,887.042000,12.363106,pallet_absent,1,6.860792,5.039044,1.657732,0.709044,0.754378,0.076401
0,88,887.174000,12.532141,pallet_absent,1,6.855674,5.031291,1.660970,0.701291,0.754375,0.079606
0,89,887.372000,12.709337,pallet_absent,1,6.851936,5.025850,1.663674,0.695850,0.754430,0.078497
0,90,887.504000,12.884498,pallet_absent,1,6.847052,5.018891,1.667517,0.688891,0.754463,0.078330
0,91,887.702000,13.061095,pallet_absent,1,6.843435,5.013877,1.670592,0.683877,0.754512,0.077049
0,92,887.900000,13.232009,pallet_absent,1,6.838709,5.007507,1.674932,0.677507,0.754544,0.079278
0,93,888.032000,13.406292,pallet_absent,1,6.835225,5.002948,1.678382,0.672948,0.754577,0.071932
0,94,888.230000,13.566734,pallet_absent,1,6.830681,4.997183,1.683237,0.667183,0.754570,0.072653
0,95,888.362000,13.734864,pallet_absent,1,6.827350,4.993048,1.687024,0.663048,0.754600,0.080574
0,96,888.560000,13.908175,pallet_absent,1,6.824111,4.989050,1.690820,0.659050,0.754665,0.078077
0,97,888.758000,14.079593,pallet_absent,1,6.819902,4.983854,1.695870,0.653854,0.754762,0.072388
0,98,888.890000,14.243917,pallet_absent,1,6.816830,4.980045,1.699608,0.650045,0.754720,0.075961
0,99,889.088000,14.420633,pallet_absent,1,6.812863,4.975099,1.704487,0.645099,0.754769,0.071287
0,100,889.220000,14.588305,pallet_absent,1,6.809972,4.971477,1.708087,0.641477,0.754684,0.080083
0,101,889.418000,14.759094,pallet_absent,1,6.807229,4.968049,1.711373,0.638049,0.754714,0.083167
0,102,889.616000,14.938709,pallet_absent,1,6.804326,4.964377,1.714328,0.634377,0.754785,0.081086
0,103,889.748000,15.116564,pallet_absent,1,6.802344,4.961849,1.716315,0.631849,0.754766,0.074345
0,104,889.946000,15.283010,pallet_absent,1,6.799772,4.958570,1.718942,0.628570,0.754759,0.077712
0,105,890.078000,15.453762,pallet_absent,1,6.797883,4.956152,1.720882,0.626152,0.754867,0.073906
0,106,890.276000,15.620880,pallet_absent,1,6.795405,4.952958,1.723427,0.622958,0.754792,0.075727
0,107,890.408000,15.788983,pallet_absent,1,6.793588,4.950598,1.725288,0.620598,0.754870,0.071488
0,108,890.606000,15.953171,pallet_absent,1,6.791792,4.948255,1.727128,0.618255,0.754899,0.079590
0,109,890.738000,16.120277,pallet_absent,1,6.790012,4.945921,1.728951,0.615921,0.754883,0.075258
0,110,890.936000,16.294873,pallet_absent,1,6.787658,4.942814,1.731363,0.612814,0.754948,0.078521
0,111,891.068000,16.459619,pallet_absent,1,6.785913,4.940494,1.733144,0.610494,0.754886,0.071453
0,112,891.266000,16.620905,pallet_absent,1,6.784189,4.938187,1.734900,0.608187,0.754967,0.073302
0,113,891.398000,16.777529,pallet_absent,1,6.781913,4.935123,1.737217,0.605123,0.754909,0.070643
0,114,891.596000,16.944316,pallet_absent,1,6.780219,4.932829,1.738939,0.602829,0.754993,0.072221
0,115,891.728000,17.101450,pallet_absent,1,6.778544,4.930547,1.740636,0.600547,0.754954,0.075396
0,116,891.926000,17.267734,pallet_absent,1,6.776884,4.928273,1.742316,0.598273,0.755023,0.075532
0,117,892.058000,17.428913,pallet_absent,1,6.774709,4.925270,1.744509,0.595270,0.755003,0.075414
0,118,892.256000,17.594511,pallet_absent,1,6.773093,4.923029,1.746139,0.593029,0.755059,0.080900
0,119,892.388000,17.766860,pallet_absent,1,6.771492,4.920797,1.747753,0.590797,0.755049,0.072273
0,120,892.586000,17.924288,pallet_absent,1,6.769906,4.918572,1.749348,0.588572,0.755088,0.081028
0,121,892.718000,18.091026,pallet_absent,1,6.767833,4.915644,1.751423,0.585644,0.755101,0.079669
0,122,892.916000,18.255574,pallet_absent,1,6.766289,4.913455,1.752974,0.583455,0.755137,0.074633
0,123,893.048000,18.418279,pallet_absent,1,6.764765,4.911279,1.754499,0.581279,0.755156,0.075059
0,124,893.246000,18.582289,pallet_absent,1,6.762747,4.908387,1.756520,0.578387,0.755173,0.069115
0,125,893.378000,18.737381,pallet_absent,1,6.761247,4.906224,1.758018,0.576224,0.755202,0.076079
0,126,893.576000,18.904891,pallet_absent,1,6.759765,4.904074,1.759498,0.574074,0.755215,0.075757
0,127,893.708000,19.069143,pallet_absent,1,6.758287,4.901924,1.760973,0.571924,0.755221,0.074801
0,128,893.840000,19.230365,pallet_absent,1,6.756338,4.899070,1.762915,0.569070,0.755251,0.070623
0,129,894.038000,19.393680,pallet_absent,1,6.754883,4.896928,1.764366,0.566928,0.755260,0.073792
0,130,894.170000,19.554850,pallet_absent,1,6.753447,4.894802,1.765790,0.564802,0.755283,0.073954
0,131,894.368000,19.717738,pallet_absent,1,6.752021,4.892684,1.767206,0.562684,0.755280,0.073811
0,132,894.500000,19.876681,pallet_absent,1,6.750129,4.889858,1.769085,0.559858,0.755286,0.073255
0,133,894.698000,20.039949,pallet_absent,1,6.748735,4.887761,1.770462,0.557761,0.755316,0.076130
0,134,894.830000,20.203411,pallet_absent,1,6.747354,4.885676,1.771828,0.555676,0.755309,0.073677
0,135,895.028000,20.362782,pallet_absent,1,6.745983,4.883599,1.773184,0.553599,0.755361,0.073299
0,136,895.160000,20.527396,pallet_absent,1,6.744615,4.881518,1.774540,0.551518,0.755355,0.074193
0,137,895.292000,20.688602,pallet_absent,1,6.742805,4.878749,1.776328,0.548749,0.755361,0.068716
0,138,895.490000,20.843117,pallet_absent,1,6.741469,4.876692,1.777643,0.546692,0.755417,0.072088
0,139,895.622000,20.999057,pallet_absent,1,6.740143,4.874644,1.778951,0.544644,0.755413,0.071551
0,140,895.820000,21.158753,pallet_absent,1,6.738831,4.872608,1.780242,0.542608,0.755452,0.071677
0,141,895.952000,21.327831,pallet_absent,1,6.737531,4.870583,1.781521,0.540583,0.755475,0.087358
0,142,896.150000,21.511158,pallet_absent,1,6.735812,4.867893,1.783213,0.537893,0.755482,0.070678
0,143,896.282000,21.666322,pallet_absent,1,6.734538,4.865889,1.784464,0.535889,0.755514,0.068578
0,144,896.480000,21.827774,pallet_absent,1,6.733268,4.863886,1.785716,0.533886,0.755544,0.072577
0,145,896.612000,21.988168,pallet_absent,1,6.731582,4.861212,1.787375,0.531212,0.755544,0.069996
0,146,896.744000,22.141486,pallet_absent,1,6.730335,4.859223,1.788597,0.529223,0.755573,0.075671
0,147,896.942000,22.305339,pallet_absent,1,6.729096,4.857242,1.789814,0.527242,0.755599,0.073778
0,148,897.074000,22.463511,pallet_absent,1,6.727858,4.855254,1.791033,0.525254,0.755609,0.071948
0,149,897.272000,22.622483,pallet_absent,1,6.726629,4.853274,1.792237,0.523274,0.755648,0.071900
0,150,897.404000,22.779293,pallet_absent,1,6.725415,4.851306,1.793427,0.521306,0.755661,0.072991
0,151,897.602000,22.943439,pallet_absent,1,6.723803,4.848687,1.795009,0.518687,0.755680,0.068634
0,152,897.734000,23.098024,pallet_absent,1,6.722602,4.846726,1.796186,0.516726,0.755703,0.073367
0,153,897.866000,23.256511,pallet_absent,1,6.721413,4.844777,1.797350,0.514777,0.755723,0.066498
0,154,898.064000,23.411096,pallet_absent,1,6.720231,4.842831,1.798510,0.512831,0.755745,0.076885
0,155,898.196000,23.588967,pallet_absent,1,6.718661,4.840238,1.800049,0.510238,0.755765,0.080512
0,156,898.394000,23.768239,pallet_absent,1,6.717496,4.838304,1.801188,0.508304,0.755798,0.077493
0,157,898.592000,23.937513,pallet_absent,1,6.716339,4.836377,1.802321,0.506377,0.755817,0.098607
0,158,898.790000,24.141327,pallet_absent,1,6.714424,4.833173,1.804197,0.503173,0.755850,0.079279
0,159,898.922000,24.328378,pallet_absent,1,6.713286,4.831259,1.805311,0.501259,0.755866,0.075230
0,160,899.120000,24.498355,pallet_absent,1,6.711782,4.828719,1.806784,0.498719,0.755902,0.081835
0,161,899.318000,24.669033,pallet_absent,1,6.710660,4.826816,1.807885,0.496816,0.755924,0.067408
0,162,899.450000,24.835214,pallet_absent,1,6.709543,4.824916,1.808981,0.494916,0.755941,0.085588
0,163,899.648000,25.009291,pallet_absent,1,6.708068,4.822396,1.810428,0.492396,0.755964,0.079000
0,164,899.780000,25.185900,pallet_absent,1,6.706967,4.820507,1.811511,0.490507,0.755964,0.068017
0,165,899.978000,25.346298,pallet_absent,1,6.705509,4.817995,1.812944,0.487995,0.755983,0.066677
0,166,900.110000,25.505104,pallet_absent,1,6.704420,4.816113,1.814017,0.486113,0.756012,0.074974
0,167,900.308000,25.667397,pallet_absent,1,6.703336,4.814231,1.815085,0.484231,0.756025,0.069019
0,168,900.440000,25.821167,pallet_absent,1,6.702262,4.812361,1.816143,0.482361,0.756048,0.082584
0,169,900.638000,25.989312,pallet_absent,1,6.701197,4.810500,1.817197,0.480500,0.756071,0.074096
0,170,900.770000,26.149406,pallet_absent,1,6.699784,4.808025,1.818601,0.478025,0.756087,0.070345
0,171,900.902000,26.307245,pallet_absent,1,6.698728,4.806167,1.819655,0.476167,0.756090,0.074967
0,172,901.100000,26.470074,pallet_absent,1,6.697677,4.804314,1.820707,0.474314,0.756117,0.072695
0,173,901.232000,26.636967,pallet_absent,1,6.696633,4.802468,1.821756,0.472468,0.756136,0.075958
0,174,901.430000,26.799284,pallet_absent,1,6.695247,4.800008,1.823155,0.470008,0.756146,0.072120
0,175,901.562000,26.955766,pallet_absent,1,6.694214,4.798169,1.824202,0.468169,0.756143,0.069493
0,176,901.760000,27.115202,pallet_absent,1,6.693188,4.796338,1.825245,0.466338,0.756182,0.073054
0,177,901.892000,27.272240,pallet_absent,1,6.692166,4.794509,1.826288,0.464509,0.756188,0.071393
0,178,902.024000,27.430951,pallet_absent,1,6.691149,4.792683,1.827329,0.462683,0.756188,0.076465
0,179,902.222000,27.598217,pallet_absent,1,6.689799,4.790251,1.828718,0.460251,0.756221,0.072583
0,180,902.354000,27.754934,pallet_absent,1,6.688791,4.788430,1.829759,0.458430,0.756250,0.075425
0,181,902.552000,27.912886,pallet_absent,1,6.687788,4.786613,1.830798,0.456613,0.756250,0.071026
0,182,902.684000,28.067410,pallet_absent,1,6.686790,4.784800,1.831835,0.454800,0.756273,0.074931
0,183,902.882000,28.233701,pallet_absent,1,6.685799,4.782994,1.832870,0.452994,0.756302,0.069048
0,184,903.014000,28.389712,pallet_absent,1,6.684812,4.781191,1.833903,0.451191,0.756305,0.074489
0,185,903.146000,28.545527,pallet_absent,1,6.683504,4.778794,1.835278,0.448794,0.756325,0.072333
0,186,903.344000,28.704782,pallet_absent,1,6.682528,4.776999,1.836309,0.446999,0.756354,0.080298
0,187,903.476000,28.869285,pallet_absent,1,6.681557,4.775209,1.837337,0.445209,0.756374,0.067720
0,188,903.674000,29.023149,pallet_absent,1,6.680592,4.773425,1.838363,0.443425,0.756393,0.068890
0,189,903.806000,29.177358,pallet_absent,1,6.679632,4.771646,1.839387,0.441646,0.756416,0.071244
0,190,903.938000,29.339583,pallet_absent,1,6.678678,4.769872,1.840409,0.439872,0.756439,0.073734
0,191,904.136000,29.495655,pallet_absent,1,6.677413,4.767514,1.841768,0.437514,0.756458,0.071971
0,192,904.268000,29.650736,pallet_absent,1,6.676469,4.765750,1.842786,0.435750,0.756481,0.081747
0,193,904.466000,29.818465,pallet_absent,1,6.675531,4.763990,1.843801,0.433990,0.756514,0.069141
0,194,904.598000,29.972294,pallet_absent,1,6.674598,4.762236,1.844815,0.432236,0.756530,0.075308
0,195,904.730000,30.130200,pallet_absent,1,6.673670,4.760486,1.845827,0.430486,0.756549,0.068135
0,196,904.928000,30.288155,pallet_absent,1,6.672746,4.758741,1.846837,0.428741,0.756576,0.078981
0,197,905.060000,30.452980,pallet_absent,1,6.671522,4.756419,1.848181,0.426419,0.756582,0.069983
0,198,905.258000,30.611162,pallet_absent,1,6.670609,4.754683,1.849187,0.424683,0.756605,0.080461
0,199,905.390000,30.774504,pallet_absent,1,6.669700,4.752951,1.850192,0.422951,0.756621,0.081410
0,200,905.588000,30.942863,pallet_absent,1,6.668795,4.751222,1.851196,0.421222,0.756647,0.073358
0,201,905.720000,31.103140,pallet_absent,1,6.667594,4.748919,1.852534,0.418919,0.756670,0.073007
0,202,905.852000,31.259285,pallet_absent,1,6.666699,4.747197,1.853535,0.417197,0.756683,0.074902
0,203,906.050000,31.420892,pallet_absent,1,6.665809,4.745481,1.854534,0.415481,0.756702,0.075896
0,204,906.182000,31.598379,pallet_absent,1,6.664631,4.743203,1.855860,0.413203,0.756722,0.084853
0,205,906.380000,31.781870,pallet_absent,1,6.663754,4.741502,1.856852,0.411502,0.756738,0.075943
0,206,906.578000,31.944592,pallet_absent,1,6.662881,4.739804,1.857843,0.409804,0.756758,0.069265
0,207,906.710000,32.101915,pallet_absent,1,6.661720,4.737540,1.859164,0.407540,0.756784,0.071955
0,208,906.908000,32.263800,pallet_absent,1,6.660853,4.735843,1.860156,0.405843,0.756800,0.069259
0,209,907.040000,32.418522,pallet_absent,1,6.659990,4.734151,1.861145,0.404151,0.756813,0.074457
0,210,907.172000,32.580457,pallet_absent,1,6.659132,4.732463,1.862133,0.402463,0.756839,0.071221
0,211,907.370000,32.739545,pallet_absent,1,6.658277,4.730779,1.863119,0.400779,0.756855,0.074100
0,212,907.502000,32.903264,pallet_absent,1,6.657145,4.728540,1.864431,0.398540,0.756868,0.063956
0,213,907.700000,33.054196,pallet_absent,1,6.656301,4.726867,1.865413,0.396867,0.756904,0.073718
0,214,907.832000,33.215464,pallet_absent,1,6.655461,4.725197,1.866393,0.395197,0.756914,0.075352
0,215,907.964000,33.371227,pallet_absent,1,6.654625,4.723531,1.867372,0.393531,0.756930,0.072899
0,216,908.162000,33.540431,pallet_absent,1,6.653793,4.721867,1.868350,0.391867,0.756956,0.074745
0,217,908.294000,33.700356,pallet_absent,1,6.652690,4.719658,1.869650,0.389658,0.756973,0.078824
0,218,908.492000,33.866719,pallet_absent,1,6.651868,4.718006,1.870623,0.388006,0.756989,0.082435
0,219,908.624000,34.037388,pallet_absent,1,6.651051,4.716358,1.871594,0.386358,0.757015,0.075100
0,220,908.822000,34.206856,pallet_absent,1,6.649964,4.714163,1.872889,0.384163,0.757041,0.073365
0,221,908.954000,34.361739,pallet_absent,1,6.649153,4.712519,1.873859,0.382519,0.757051,0.070214
0,222,909.152000,34.521030,pallet_absent,1,6.648346,4.710880,1.874827,0.380880,0.757080,0.077088
0,223,909.284000,34.687765,pallet_absent,1,6.647544,4.709245,1.875794,0.379245,0.757100,0.069624
0,224,909.482000,34.853621,pallet_absent,1,6.646479,4.707071,1.877080,0.377071,0.757116,0.071254
0,225,909.614000,35.008541,pallet_absent,1,6.645685,4.705444,1.878044,0.375444,0.757145,0.073751
0,226,909.812000,35.178985,pallet_absent,1,6.644894,4.703819,1.879006,0.373819,0.757171,0.073869
0,227,909.944000,35.334266,pallet_absent,1,6.644107,4.702199,1.879967,0.372199,0.757184,0.068329
0,228,910.142000,35.494836,pallet_absent,1,6.643323,4.700581,1.880927,0.370581,0.757197,0.074717
0,229,910.274000,35.656535,pallet_absent,1,6.642283,4.698429,1.882205,0.368429,0.757223,0.075614
0,230,910.406000,35.818660,pallet_absent,1,6.641507,4.696818,1.883162,0.366818,0.757230,0.068037
0,231,910.604000,35.976192,pallet_absent,1,6.640736,4.695212,1.884117,0.365212,0.757256,0.071752
0,232,910.736000,36.141835,pallet_absent,1,6.639968,4.693610,1.885071,0.363610,0.757272,0.076933
0,233,910.934000,36.304862,pallet_absent,1,6.638948,4.691478,1.886341,0.361478,0.757285,0.071779
0,234,911.066000,36.461971,pallet_absent,1,6.638188,4.689882,1.887292,0.359882,0.757308,0.077813
0,235,911.264000,36.632643,pallet_absent,1,6.637430,4.688289,1.888243,0.358289,0.757327,0.073595
0,236,911.396000,36.797064,pallet_absent,1,6.636677,4.686700,1.889191,0.356700,0.757334,0.069005
0,237,911.594000,36.951799,pallet_absent,1,6.635678,4.684588,1.890453,0.354588,0.757363,0.073123
0,238,911.726000,37.115239,pallet_absent,1,6.634932,4.683007,1.891398,0.353007,0.757380,0.072970
0,239,911.858000,37.271986,pallet_absent,1,6.634190,4.681429,1.892342,0.351429,0.757393,0.073375
0,240,912.056000,37.430715,pallet_absent,1,6.633451,4.679854,1.893285,0.349854,0.757415,0.075318
0,241,912.188000,37.592537,pallet_absent,1,6.632715,4.678283,1.894227,0.348283,0.757435,0.073107
0,242,912.386000,37.755091,pallet_absent,1,6.631739,4.676192,1.895480,0.346192,0.757461,0.076752
0,243,912.518000,37.919049,pallet_absent,1,6.631011,4.674628,1.896419,0.344628,0.757480,0.077368
0,244,912.716000,38.087083,pallet_absent,1,6.630287,4.673068,1.897356,0.343068,0.757510,0.071264
0,245,912.848000,38.250767,pallet_absent,1,6.629326,4.670992,1.898603,0.340992,0.757533,0.078516
0,246,913.046000,38.423784,pallet_absent,1,6.628609,4.669439,1.899537,0.339439,0.757552,0.076896
0,247,913.244000,38.601435,pallet_absent,1,6.627657,4.667373,1.900780,0.337373,0.757578,0.079127
0,248,913.376000,38.772206,pallet_absent,1,6.626947,4.665827,1.901712,0.335827,0.757604,0.077725
0,249,913.574000,38.951593,pallet_absent,1,6.626006,4.663770,1.902952,0.333770,0.757627,0.079417
0,250,913.772000,39.147741,pallet_absent,1,6.625303,4.662231,1.903880,0.332231,0.757660,0.086127
0,251,913.970000,39.343055,pallet_absent,1,6.624371,4.660184,1.905116,0.330184,0.757689,0.078073
0,252,914.102000,39.517840,pallet_absent,1,6.623444,4.658141,1.906350,0.328141,0.757702,0.071088
0,253,914.300000,39.677438,pallet_absent,1,6.622752,4.656612,1.907275,0.326612,0.757738,0.074045
0,254,914.432000,39.837161,pallet_absent,1,6.622063,4.655086,1.908198,0.325086,0.757757,0.076446
0,255,914.630000,40.008596,pallet_absent,1,6.621377,4.653563,1.909121,0.323563,0.757777,0.078137
0,256,914.762000,40.183911,pallet_absent,1,6.620467,4.651536,1.910349,0.321536,0.757799,0.081777
0,257,914.960000,40.361156,pallet_absent,1,6.619788,4.650018,1.911269,0.320018,0.757829,0.077738
0,258,915.158000,40.530947,pallet_absent,1,6.618886,4.647999,1.912495,0.317999,0.757848,0.080463
0,259,915.290000,40.709125,pallet_absent,1,6.618213,4.646488,1.913416,0.316488,0.757871,0.072815
0,260,915.488000,40.876005,pallet_absent,1,6.617319,4.644477,1.914654,0.314477,0.757891,0.072045
0,261,915.620000,41.036815,pallet_absent,1,6.616651,4.642972,1.915588,0.312972,0.757917,0.074459
0,262,915.818000,41.200996,pallet_absent,1,6.615985,4.641470,1.916527,0.311470,0.757939,0.080028
0,263,915.950000,41.383193,pallet_absent,1,6.615102,4.639472,1.917787,0.309472,0.757936,0.074710
0,264,916.148000,41.548546,pallet_absent,1,6.614441,4.637976,1.918738,0.307976,0.757982,0.079149
0,265,916.346000,41.725510,pallet_absent,1,6.613564,4.635985,1.920015,0.305985,0.757998,0.075669
0,266,916.478000,41.904436,pallet_absent,1,6.612908,4.634495,1.920979,0.304495,0.758014,0.079866
0,267,916.676000,42.086443,pallet_absent,1,6.612038,4.632511,1.922264,0.302511,0.758050,0.076947
0,268,916.874000,42.262073,pallet_absent,1,6.611389,4.631026,1.923227,0.301026,0.758076,0.075068
